行业,批次,不限专业,公司名称,学历,岗位更新日期,官方公告,岗位,网申入口,含免笔试,截止时间,企业类型,招聘对象,备注,工作城市
农业,春招,0,湖北农发集团,"本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/LsURFsmiX9x05CcaFPVUYA,工程建设类岗位，市场营销类岗位，智慧农业类岗位，生产技术类岗位，粮油食品类岗位，职能管理类岗位,http://campus.51job.com/hbnyfzjt2026/m/job.html,0,2026-05-08,央国企,"2025, 2026","省属国企,五险一金足额缴纳,定期体检,餐补,带薪年假,10万-15万/年","河北, 湖北"
半导体,春招,0,Nova,"本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/nshL1isXYf5qsKA73Ef65g,Application Engineer，Field Service Engineer，Service Coordinator Intern,https://campus.51job.com/nova2026,1,招满即止,外企,2026,"半导体量测领军外企, 流程无笔试, 核心技术岗, 18k-30k*14","上海, 东莞, 北京, 合肥, 江阴, 深圳"
制造业,春招,0,中国一拖,"本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/tt5K7t50r974AXnfxjiOjw,工艺工程师，材料工程师，研发工程师，职能管理岗，国内销售经理，海外销售经理,https://zgytjt.zhaopin.com/,1,招满即止,央国企,2026,"五险二金,一次性安家费,免费公寓,员工餐厅,洛阳/南京落户补贴,8k-15k*14","南京, 洛阳, 海外"
教育,春招,1,欢乐童年,"本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/T2Q3GKsBGD-35b_V4HsMtg,数学老师,https://app.mokahr.com/campus_apply/happy-seed/36097#/,0,招满即止,民企,2026,"有五险一金, 每年4次调薪机会, 培训期包住宿, 10-40万/年","大连, 武汉, 西安"
交通运输,春招,0,江苏港口,"本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/b3pXbaE5sOg_YQwOI1tVag,一般操作岗，专业技术岗，市场业务岗，核心技能岗，生产管理岗，职能管理岗,https://zhaopin.portjs.cn/zp.html#/,0,2026-05-10,央国企,"2025, 2026","省属大型国企, 提供六险二金及完善住房保障, 覆盖江苏省内多个港口城市, 往年总包约10-18万。","南京, 常州, 扬州, 泰州, 苏州, 镇江, 连云港"
金融,春招,0,宁波通商控股集团,博士,2026/04/19,https://mp.weixin.qq.com/s/s2nAhpbEkeSOpUseAfZYVw,博士后研究人员,https://shortapis.com/xzpro/?target64=cG9zdGRvY3RvckBuYnRzZy5jbg==,0,招满即止,央国企,2026,"有五险一金,住房补贴,课题经费补助,年薪35万起+专项奖金",宁波
医药生物,春招,1,新疆维药,"本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/5iA3lTjU0Ididky2YZYYcg,营销储备生,https://shortapis.com/xzpro/?target64=eGp3eS5ybHp5YkByZW5mdS5jb20uY24=,1,招满即止,民企,2026,"表现优异可直接转正, 实习薪资, 节日福利, 导师一对一带教, 8k~15k",全国
"电商,制造业,新能源",春招,1,阿科思迈,"本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/vE8TlHmRZO6j-LcLdg9D1w,物流助理，财务助理，采购助理，工程师助理，产品开发助理，人力资源助理，跨境电商助理,https://xjwy.rlzyb@renfu.com.cn/,1,招满即止,民企,2026,专注E-bike跨境电商领域，提供海外业务接触机会，流程包含无领导小组讨论，参考月薪6k-9k。,"东莞, 深圳"
建筑,春招,0,中交二航院,"硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/M6_b5-DD1EGgki4FZ2dAmQ,地质/岩土/物探岗，法学/审计/会计岗，水利/水文岗，给排水/暖通岗，海洋生态/环境工程岗，安全工程岗，机械工程岗，软件工程岗，交通运输规划岗，电气及控制工程岗，港口海岸及近海工程岗,https://ccccltd.zhiye.com/custom/fxzzw?c2=31&fname=dierhanwugongchengkanchasjy&hideMenu=1,0,招满即止,央国企,2026,"七险二金, 导师带徒, 解决武汉落户, 15k~20k*14",武汉
金融,春招,1,仲利国际,"本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/lXGHGUc4h0qra9oFFB2KjQ,校招岗位,https://chailease.zhiye.com/jobs,0,招满即止,外企,2026,"融资租赁龙头, 五险一金, 提成丰厚, 8k~12k*13",全国
"金融,银行",日常实习,0,禾城农商银行,"大专,本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/cCALFSuTDUt-C2j2s2siUw,"合规管理部实习生,支行（营业部）实习生",https://wechat.zjhcbank.com/epidemic/job-apply,0,2026-04-21,央国企,在校生,发放实习津贴及餐补，需实习不少于30天且不可中断，提供官方实习证明。,嘉兴
互联网,暑期实习,0,阿里妈妈,"本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/W3jcd2VlGjE6SEWPjH1MJw,广告算法实习生,https://campus-talent.alibaba.com/campus/position?batchId=100000540002&campusShareCode=bJLVrbBNjREG6TXGdHCGtlh5QpE1xUnK6bei4apKI18%3D,1,2026-06-30,民企,2027届,"锁定秋招机会, 亿级规模广告场景, 广告算法核心组。",杭州
游戏,春招,0,迪果游戏,"本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/4mqV3GG6_eqFioyfVYIrLQ,业务&数据，市场推广，技术开发，游戏策划，美术设计,https://app.mokahr.com/m/campus_apply/diguo/144657?hash=%23%2Fjobs&recommendCode=DSTFSQhg,0,招满即止,民企,"2025, 2026","有餐补及高温补贴,打车报销,完善培训体系,10k~20k*14","上海, 西安"
交通运输,春招,0,中国港湾,"本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/5JHWH2gQTPx9I_kpUh5brw,工程类，机电类，综合类，财经类,https://ccccltd.zhiye.com/custom/fxzzw?c2=27&fname=gangwangc&hideMenu=1,0,2026-06-30,央国企,"2025, 2026","解决北京户口, 驻外衣食住行全包, 驻外每年40天带薪年假, 总包15w-25w","全国, 海外"
"车企,互联网,制造业",春招,0,北汽科服,"硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/jlJFuGRutZ11IyFaEN3wNw,AI大模型全栈助理工程师，AI智能体开发助理工程师，AI大模型架构设计及应用开发助理工程师，产品经理助理，国际化软件开发助理工程师，混合云基础平台运营助理工程师，大数据架构设计及开发助理工程师,https://baicgroup.zhiye.com/campus/jobs?queryId=b9f400ea-071e-46e2-9f4c-cea4c1b981c3,0,招满即止,央国企,2026,"要求硕士及以上学历,提供六险二金,各类补贴,年薪总包约25w-40w",北京
银行,春招,1,广发银行重庆分行,"本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/iamcABLrd5-5hYs1Lqoe4w,分行营销英才，分行金融科技类,https://chinalife.zhiye.com/custom/campus?ClassificationTwo=595&two_name=%E5%B9%BF%E5%8F%91%E9%93%B6%E8%A1%8C%E9%87%8D%E5%BA%86%E5%88%86%E8%A1%8C,0,2026-04-20,央国企,2026,"有六险二金,三年专项补贴,食堂餐补,年度体检及家人商保,10k-18k*14",重庆
"制造业,人工智能",暑期实习,0,海康机器人,"本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/Jw2QbTEnOLT8c83ZZw5qdw,"AI算法工程师,光学工程师,结构设计工程师,机械结构工程师,软件开发工程师,机器视觉算法工程师,智能传感算法工程师,AI加速算法工程师,机器人集群规划算法工程师,机器人强化学习算法工程师,机器人运动控制算法工程师,机器人决策规划算法工程师,机器人多维感知算法工程师,机器人三维建模算法工程师,机器人运筹优化算法工程师,机器人定位导航算法工程师,机械臂运动控制算法工程师,硬件设计工程师,工业设计师,应用软件开发工程师,视觉应用工程师",https://campushr.hikvision.com/,1,招满即止,民企,2027届,"提供转正机会, 需实习2个月以上, 覆盖AI算法及机器人核心研发岗, 坐标杭州/西安。","杭州, 西安"
航天航空,暑期实习,0,航空工业一飞院,"本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/6VEP5JyBc58SP1rabqOvzQ,实习生,https://mp.weixin.qq.com/s/6VEP5JyBc58SP1rabqOvzQ,1,招满即止,央国企,2026届及以后,"薪资未提及, 航空工业核心设计院, 2026届及以后可投, 坐标西安。",西安
"半导体,新能源",春招,0,基石科技,博士,2026/04/19,https://mp.weixin.qq.com/s/vhPs0HaUfwB0gacypu1Tww,电子化学材料研发工程师,https://shortapis.com/xzpro/?target64=emVtaW56aGFvQGNuc3RjaGVtLmNvbQ==,1,招满即止,民企,"2025, 2026",专注半导体光刻胶及CMP核心材料研发，博士人才补贴丰厚，具备竞争力的薪资体系，30k-50k*14,"深圳, 珠海"
"互联网,人工智能",春招,0,积加科技,"本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/gN2E8lO6KBw5eQM74zDkYw,3D视觉算法，软件研发，数据科学家，音视频开发，具身智能算法，嵌入式工程师,https://a4x-paas.jobs.feishu.cn/500117,0,招满即止,民企,2026,"入职即配Cursor+4K大屏, 报销主流AI软件订阅费, 资深专家带教, 18k~35k*14","北京, 杭州, 深圳"
互联网,暑期实习,0,腾讯IEG行政中心,"本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/HuBJgb0uiOjNpIXTqqh4sg,"行政岗位,秘书岗位",https://join.qq.com/,0,招满即止,民企,2026年9月-2027年12月毕业的在校生,"腾讯IEG核心部门招募, 涵盖26届补录与27届实习, 需在官网投递时精准选择IEG行政中心部门.","上海, 成都, 深圳"
制造业,暑期实习,0,国机重装,"硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/lAMLlxfMldOk8iTJox_BYA,"技术研发岗（实习生）,职能管理岗（实习生）",https://wecruit.hotjob.cn/SU66c1ffa81eb8054b1a691126/pb/interns.html,1,招满即止,央国企,2027年毕业,"提供人才公寓及补贴, 表现优异直通27届校招Offer, 仅限27届硕博投递。","成都市, 德阳市"
"车企,制造业,新能源",暑期实习,0,观瑞汽车,硕士,2026/04/19,https://mp.weixin.qq.com/s/e355e3ZbqGAys_qCTSLU9g,"硬件开发工程师,结构开发工程师,嵌入式软件开发工程师,智能驾驶控制算法开发工程师,QT开发工程师",https://shortapis.com/xzpro/?target64=aHV4aWFuZ211QGd1YW5ydWkud29yaw==,0,招满即止,民企,硕士在读,"发放实习补贴及餐补, 需硕士在读且能稳定实习, 设有校招Offer直通车并支持论文/专利产出。",苏州
建筑,春招,0,中交集团,"本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/2QxCWjS2D3mS14bu7iX_cg,投资岗，科研岗，管理岗，工程技术岗，港口机械岗，设计研发岗,https://mp.weixin.qq.com/s/2QxCWjS2D3mS14bu7iX_cg,0,招满即止,央国企,2026,"解决北京/上海户口机会多, 六险二金, 极具竞争力的海外补贴, 12k~25k*14","全国, 海外"
军工,春招,0,中国电科8所,"硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/ylpqrBtyg6_2ggOcXxb64w,光纤传感工程师，机械设计工程师，电气设计工程师，电路设计工程师，光器件研发工程师，光模块设计工程师，光电线缆研发工程师,https://wecruit.hotjob.cn/SU6056ebe60dcad424d03e1c5b/mc/position/campus?orgCode=0%2F628%2F907,0,招满即止,事业单位,2026,"解决事业编制, 优秀硕博享一次性安家费, 五险二金及超长春假, 15k-30k*14","合肥, 淮南"
"制造业,人工智能",春招,0,海康机器人,"本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/tJiNgjqXlP7tmstap7eejw,售前工程师，销售工程师，技术支持工程师，视觉应用工程师，工程技术支持工程师,https://campushr.hikvision.com/,1,招满即止,民企,"2025, 2026","行业领先地位, 完善培养体系, 12k-25k*15","上海, 东莞, 北京, 南京, 厦门, 天津, 常州, 广州, 惠州, 成都, 无锡, 杭州, 武汉, 深圳, 苏州, 郑州, 重庆, 长春, 长沙"
医药生物,春招,0,鲁南制药,"本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/a5YQmgeNFY9jlwiR-g07rQ,IT类，其他，学术类，实习生，生产类，研发类，职能类，营销类,https://hcm.lunan.com.cn/recruit#/index,0,招满即止,民企,"2025, 2026","有七险一金,带薪暑假,员工公寓,员工餐厅,子女入学福利,集体婚礼,总包10万-30万","临沂, 全国"
金融,春招,0,工控万宝融资租赁,"硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/jGT_o3LtOp_W1ssNCrZtfw,融资租赁管理培训生,https://shortapis.com/xzpro/?target64=bHVveWlsaW5Ad2JyenpsLmNvbQ==,1,招满即止,央国企,2026,广州国企背景，提供六险二金（含企业年金）及全方位补贴，硕士及以上学历起投，薪资面议。,广州
其它,春招,0,山东文旅集团,"本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/0GYPDcEwWt-ILDoXrVSDKA,专业人才,http://gzw.shandong.gov.cn/articles/ch00223/202604/0fd583e3-699c-4ee3-b0b8-81322b6731f8.html,0,2026-05-06,央国企,2026,"有六险二金, 各种补贴, 8k~15k*14",山东
银行,春招,0,无为农商银行,"本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/_0Vg-JBD8nIwNU1xKInm5Q,金融科技岗,https://arcuxy2026.zhaopin.com/,0,2026-04-26,央国企,"2025, 2026","有五险一金,各类补贴,最低服务年限5年,年薪约10万-15万",芜湖
"金融,银行",春招,1,广发银行长沙分行,"本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/zI5pENNa5aR9FdbMhILQ4w,分行营销英才，分行金融科技类，分行法律与风险管理类,https://www.cgbchina.com.cn/,0,2026-04-20,央国企,"2025, 2026","毕业入职3年专项补贴, 六险二金, 各种补贴, 10k~15k*14","宁乡, 岳阳, 株洲, 浏阳, 湘潭, 衡阳, 邵阳, 长沙"
"快消,制造业",春招补录,0,汉高,"本科,硕士,博士",2026/04/19,https://mp.weixin.qq.com/s/5Iwx--urDcuh8CCfBtUQ2g,消费品供应链管培生,https://qr10.cn/C8lh7P,0,2026-04-30,外企,2026,"有六险一金, 15天带薪年假, 补充医疗保险, 13k~16k*13",上海
